date,reason
1997-02-06,승급->1 (L1=1 L2p=0 L3=1)
1997-03-04,해제 1->0 (2주 미충족)
1997-03-21,승급->1 (L1=1 L2p=0 L3=1)
1997-04-17,해제 1->0 (2주 미충족)
1997-07-15,승급->1 (L1=0 L2p=0 L3=2)
1997-10-09,승급->2 (L1=2 L2p=0 L3=2)
1997-10-23,갱신심사 유지 2 (새 근거)
1997-11-06,갱신심사 유지 2 (새 근거)
1997-11-20,갱신심사 유지 2 (새 근거)
1997-12-04,갱신심사 유지 2 (새 근거)
1997-12-19,갱신심사 유지 2 (새 근거)
1998-01-12,갱신심사 유지 2 (새 근거)
1998-01-16,해제 2->1 (2주 미충족)
1998-03-26,해제 1->0 (2주 미충족)
1998-03-31,승급->1 (L1=2 L2p=0 L3=0)
1998-04-14,해제 1->0 (2주 미충족)
1998-04-28,승급->1 (L1=2 L2p=0 L3=0)
1998-05-14,해제 1->0 (2주 미충족)
1998-05-18,승급->1 (L1=2 L2p=0 L3=0)
1998-07-01,해제 1->0 (2주 미충족)
1998-07-29,승급->1 (L1=2 L2p=0 L3=0)
1998-10-28,해제 1->0 (2주 미충족)
1999-11-15,승급->1 (L1=1 L2p=1 L3=0)
1999-12-13,해제 1->0 (2주 미충족)
1999-12-20,승급->1 (L1=1 L2p=1 L3=0)
2000-01-19,해제 1->0 (2주 미충족)
2000-01-25,승급->3 (L1=0 L2p=1 L3=0)
2000-02-09,갱신해제 3->2 (새 근거 없음 — 레짐 이관)
2000-02-21,승급->3 (L1=2 L2p=1 L3=0)
2000-03-07,갱신심사 유지 3 (새 근거)
2000-03-14,해제 3->2 (2주 미충족)
2000-03-28,갱신심사 유지 2 (새 근거)
2000-03-28,해제 2->1 (2주 미충족)
2000-03-31,승급->2 (L1=2 L2p=1 L3=1)
2000-04-06,승급->3 (L1=2 L2p=1 L3=1)
2000-04-21,갱신심사 유지 3 (새 근거)
2000-05-09,갱신심사 유지 3 (새 근거)
2000-05-17,해제 3->2 (2주 미충족)
