date,reason
1997-10-09,승급 0->1 (L1=2 L2=0 L3=0)
1998-03-26,해제 1->0 (2주 미충족)
1998-03-31,승급 0->1 (L1=2 L2=0 L3=0)
1998-04-14,해제 1->0 (2주 미충족)
1998-04-28,승급 0->1 (L1=2 L2=0 L3=0)
1998-05-14,해제 1->0 (2주 미충족)
1998-05-18,승급 0->1 (L1=2 L2=0 L3=0)
1998-07-01,해제 1->0 (2주 미충족)
1998-07-29,승급 0->1 (L1=2 L2=0 L3=0)
1998-10-28,해제 1->0 (2주 미충족)
2000-02-21,승급 0->1 (L1=2 L2=0 L3=0)
2000-03-09,해제 1->0 (2주 미충족)
2000-03-31,승급 0->1 (L1=2 L2=0 L3=0)
2000-06-07,해제 1->0 (2주 미충족)
2000-10-19,승급 0->1 (L1=2 L2=0 L3=0)
2001-01-30,해제 1->0 (2주 미충족)
2001-02-23,승급 0->1 (L1=2 L2=0 L3=0)
2001-05-10,해제 1->0 (2주 미충족)
2001-09-18,승급 0->1 (L1=2 L2=0 L3=0)
2001-10-25,해제 1->0 (2주 미충족)
2002-07-23,승급 0->1 (L1=2 L2=0 L3=0)
2002-08-22,해제 1->0 (2주 미충족)
2002-09-18,승급 0->1 (L1=2 L2=0 L3=0)
2002-10-29,해제 1->0 (2주 미충족)
2004-03-16,승급 0->1 (L1=2 L2=0 L3=0)
2004-04-07,해제 1->0 (2주 미충족)
2004-05-11,승급 0->1 (L1=2 L2=0 L3=0)
2004-06-02,해제 1->0 (2주 미충족)
2004-08-09,승급 0->1 (L1=2 L2=0 L3=0)
2004-08-27,해제 1->0 (2주 미충족)
2005-04-18,승급 0->1 (L1=2 L2=0 L3=0)
2005-05-30,해제 1->0 (2주 미충족)
2005-07-06,승급 0->1 (L1=2 L2=0 L3=0)
2005-08-04,해제 1->0 (2주 미충족)
2005-10-06,승급 0->1 (L1=2 L2=0 L3=0)
2005-12-07,해제 1->0 (2주 미충족)
2006-01-23,승급 0->1 (L1=2 L2=0 L3=0)
2006-02-07,해제 1->0 (2주 미충족)
2006-06-07,승급 0->1 (L1=2 L2=0 L3=0)
2006-08-23,해제 1->0 (2주 미충족)
2007-08-17,승급 0->1 (L1=2 L2=0 L3=0)
2007-09-07,해제 1->0 (2주 미충족)
2007-11-29,승급 0->1 (L1=2 L2=0 L3=0)
2007-12-13,해제 1->0 (2주 미충족)
2008-01-08,승급 0->1 (L1=2 L2=0 L3=0)
2008-04-11,해제 1->0 (2주 미충족)
2008-07-15,승급 0->1 (L1=2 L2=0 L3=0)
2008-07-30,해제 1->0 (2주 미충족)
2008-09-16,승급 0->1 (L1=2 L2=0 L3=0)
2009-04-22,해제 1->0 (2주 미충족)
2010-02-09,승급 0->1 (L1=2 L2=0 L3=0)
2010-02-24,해제 1->0 (2주 미충족)
2010-05-10,승급 0->1 (L1=2 L2=0 L3=0)
2010-08-03,해제 1->0 (2주 미충족)
2010-08-20,승급 0->1 (L1=2 L2=0 L3=0)
2010-09-14,해제 1->0 (2주 미충족)
2011-08-05,승급 0->1 (L1=2 L2=0 L3=0)
2012-02-02,해제 1->0 (2주 미충족)
2012-05-15,승급 0->1 (L1=2 L2=0 L3=0)
2012-07-13,해제 1->0 (2주 미충족)
2013-06-21,승급 0->1 (L1=2 L2=0 L3=0)
2013-07-10,해제 1->0 (2주 미충족)
2014-02-04,승급 0->1 (L1=2 L2=0 L3=0)
2014-02-18,해제 1->0 (2주 미충족)
2014-08-01,승급 0->1 (L1=2 L2=0 L3=0)
2014-08-26,해제 1->0 (2주 미충족)
2014-09-24,승급 0->1 (L1=2 L2=0 L3=0)
2015-04-15,해제 1->0 (2주 미충족)
2015-06-30,승급 0->1 (L1=2 L2=0 L3=0)
2015-07-24,해제 1->0 (2주 미충족)
2015-08-21,승급 0->1 (L1=2 L2=0 L3=0)
2015-10-20,해제 1->0 (2주 미충족)
2015-11-16,승급 0->1 (L1=2 L2=0 L3=0)
2015-12-03,해제 1->0 (2주 미충족)
2015-12-08,승급 0->1 (L1=2 L2=0 L3=0)
2016-03-30,해제 1->0 (2주 미충족)
2016-05-19,승급 0->1 (L1=2 L2=0 L3=0)
2016-06-20,해제 1->0 (2주 미충족)
2016-06-27,승급 0->1 (L1=2 L2=0 L3=0)
2016-07-12,해제 1->0 (2주 미충족)
2017-08-11,승급 0->1 (L1=2 L2=0 L3=0)
2017-09-04,해제 1->0 (2주 미충족)
2017-11-16,승급 0->1 (L1=2 L2=0 L3=0)
2017-11-30,해제 1->0 (2주 미충족)
2018-01-18,승급 0->1 (L1=2 L2=0 L3=0)
2018-02-20,해제 1->0 (2주 미충족)
2018-03-02,승급 0->1 (L1=2 L2=0 L3=0)
2018-05-15,해제 1->0 (2주 미충족)
2018-05-30,승급 0->1 (L1=2 L2=0 L3=0)
2018-06-15,해제 1->0 (2주 미충족)
2018-06-22,승급 0->1 (L1=2 L2=0 L3=0)
2018-08-30,해제 1->0 (2주 미충족)
2018-09-10,승급 0->1 (L1=2 L2=0 L3=0)
2018-10-08,해제 1->0 (2주 미충족)
2018-10-11,승급 0->1 (L1=2 L2=0 L3=0)
2019-01-22,해제 1->0 (2주 미충족)
2019-01-23,승급 0->1 (L1=2 L2=0 L3=0)
2019-02-13,해제 1->0 (2주 미충족)
2019-02-15,승급 0->1 (L1=2 L2=0 L3=0)
2019-03-04,해제 1->0 (2주 미충족)
2019-03-05,승급 0->1 (L1=2 L2=0 L3=0)
2019-04-30,해제 1->0 (2주 미충족)
2019-05-08,승급 0->1 (L1=2 L2=0 L3=0)
2019-06-17,해제 1->0 (2주 미충족)
2019-07-10,승급 0->1 (L1=2 L2=0 L3=0)
2019-07-24,해제 1->0 (2주 미충족)
2019-08-01,승급 0->1 (L1=2 L2=0 L3=0)
2019-10-29,해제 1->0 (2주 미충족)
2020-02-03,승급 0->1 (L1=2 L2=0 L3=0)
2020-02-18,해제 1->0 (2주 미충족)
2020-02-21,승급 0->1 (L1=2 L2=0 L3=0)
2020-06-01,해제 1->0 (2주 미충족)
2020-06-12,승급 0->1 (L1=2 L2=0 L3=0)
2020-06-26,해제 1->0 (2주 미충족)
2020-10-29,승급 0->1 (L1=2 L2=0 L3=0)
2020-11-12,해제 1->0 (2주 미충족)
2021-11-25,승급 0->1 (L1=2 L2=0 L3=0)
2022-12-09,해제 1->0 (2주 미충족)
2023-02-16,승급 0->1 (L1=2 L2=0 L3=0)
2023-03-27,해제 1->0 (2주 미충족)
2023-10-05,승급 0->1 (L1=2 L2=0 L3=0)
2023-11-14,해제 1->0 (2주 미충족)
2024-04-15,승급 0->1 (L1=2 L2=0 L3=0)
2024-05-08,해제 1->0 (2주 미충족)
2024-07-19,승급 0->1 (L1=2 L2=0 L3=0)
2024-08-26,해제 1->0 (2주 미충족)
2024-10-22,승급 0->1 (L1=2 L2=0 L3=0)
2024-11-20,해제 1->0 (2주 미충족)
2024-12-19,승급 0->1 (L1=2 L2=0 L3=0)
2025-02-18,해제 1->0 (2주 미충족)
2025-02-24,승급 0->1 (L1=2 L2=0 L3=0)
2025-06-11,해제 1->0 (2주 미충족)
2025-10-13,승급 0->1 (L1=2 L2=0 L3=0)
2025-10-27,해제 1->0 (2주 미충족)
2025-11-18,승급 0->1 (L1=2 L2=0 L3=0)
2025-12-08,해제 1->0 (2주 미충족)
2026-02-06,승급 0->1 (L1=2 L2=0 L3=0)
2026-02-25,해제 1->0 (2주 미충족)
2026-03-04,승급 0->1 (L1=2 L2=0 L3=0)
2026-07-28,해제 1->0 (2주 미충족)
2026-07-30,승급 0->1 (L1=2 L2=0 L3=0)
2026-08-13,해제 1->0 (2주 미충족)
