date,reason
1997-03-18,승급 0->1 (L1=2 L2=0 L3=0)
1998-03-25,해제 1->0 (2주 미충족)
1998-04-27,승급 0->1 (L1=2 L2=0 L3=0)
1998-05-11,해제 1->0 (2주 미충족)
1998-05-15,승급 0->1 (L1=2 L2=0 L3=0)
1998-06-29,해제 1->0 (2주 미충족)
1998-07-28,승급 0->1 (L1=2 L2=0 L3=0)
1998-10-27,해제 1->0 (2주 미충족)
1999-11-12,승급 0->1 (L1=1 L2=1 L3=0)
1999-12-10,해제 1->0 (2주 미충족)
1999-12-22,승급 0->1 (L1=1 L2=1 L3=0)
2000-01-19,해제 1->0 (2주 미충족)
2000-01-27,승급 0->1 (L1=1 L2=1 L3=0)
2000-02-18,승급 1->2 (L1=2 L2=1 L3=0)
2000-03-07,해제 2->1 (2주 미충족)
2000-03-30,승급 1->2 (L1=2 L2=1 L3=1)
2000-04-14,승급 2->3 (L1=2 L2=1 L3=1)
2000-05-01,해제 3->2 (2주 미충족)
2000-05-15,해제 2->1 (2주 미충족)
2000-06-06,해제 1->0 (2주 미충족)
2000-10-17,승급 0->1 (L1=2 L2=0 L3=0)
2001-01-25,해제 1->0 (2주 미충족)
2001-02-23,승급 0->1 (L1=2 L2=0 L3=0)
2001-05-08,해제 1->0 (2주 미충족)
2001-09-17,승급 0->1 (L1=2 L2=0 L3=0)
2001-10-24,해제 1->0 (2주 미충족)
2002-07-22,승급 0->1 (L1=2 L2=0 L3=0)
2002-08-27,해제 1->0 (2주 미충족)
2002-09-17,승급 0->1 (L1=2 L2=0 L3=0)
2002-10-28,해제 1->0 (2주 미충족)
2004-03-15,승급 0->1 (L1=2 L2=0 L3=0)
2004-04-05,해제 1->0 (2주 미충족)
2004-04-21,승급 0->1 (L1=1 L2=0 L3=1)
2004-06-15,해제 1->0 (2주 미충족)
2004-08-06,승급 0->1 (L1=2 L2=0 L3=0)
2004-08-26,해제 1->0 (2주 미충족)
2005-04-15,승급 0->1 (L1=2 L2=0 L3=0)
2005-05-27,해제 1->0 (2주 미충족)
2005-07-05,승급 0->1 (L1=2 L2=0 L3=0)
2005-08-03,해제 1->0 (2주 미충족)
2005-10-05,승급 0->1 (L1=2 L2=0 L3=0)
2005-12-07,해제 1->0 (2주 미충족)
2006-01-20,승급 0->1 (L1=2 L2=0 L3=0)
2006-02-03,해제 1->0 (2주 미충족)
2006-06-06,승급 0->1 (L1=2 L2=0 L3=0)
2006-08-21,해제 1->0 (2주 미충족)
2007-07-02,승급 0->1 (L1=1 L2=1 L3=0)
2007-08-16,승급 1->2 (L1=2 L2=1 L3=1)
2007-09-06,해제 2->1 (2주 미충족)
2008-01-07,승급 1->2 (L1=2 L2=1 L3=1)
2008-04-09,해제 2->1 (2주 미충족)
2008-07-15,승급 1->2 (L1=2 L2=1 L3=1)
2008-07-29,해제 2->1 (2주 미충족)
2008-09-02,승급 1->2 (L1=1 L2=1 L3=2)
2008-09-17,승급 2->3 (L1=2 L2=1 L3=2)
2008-10-01,해제 3->2 (2주 미충족)
2008-10-03,승급 2->3 (L1=2 L2=1 L3=2)
2008-11-10,해제 3->2 (2주 미충족)
2008-11-24,해제 2->1 (2주 미충족)
2009-04-22,해제 1->0 (2주 미충족)
2010-05-07,승급 0->1 (L1=2 L2=0 L3=0)
2010-07-20,해제 1->0 (2주 미충족)
2010-08-19,승급 0->1 (L1=2 L2=0 L3=0)
2010-09-14,해제 1->0 (2주 미충족)
2011-07-14,승급 0->1 (L1=0 L2=0 L3=2)
2011-07-27,승급 1->2 (L1=1 L2=0 L3=2)
2011-10-14,해제 2->1 (2주 미충족)
2012-01-30,해제 1->0 (2주 미충족)
2012-05-09,승급 0->1 (L1=2 L2=0 L3=0)
2012-07-13,해제 1->0 (2주 미충족)
2013-06-05,승급 0->1 (L1=0 L2=0 L3=2)
2013-06-06,승급 1->2 (L1=1 L2=0 L3=2)
2013-07-24,해제 2->1 (2주 미충족)
2013-08-07,해제 1->0 (2주 미충족)
2014-07-31,승급 0->1 (L1=2 L2=0 L3=0)
2014-08-22,해제 1->0 (2주 미충족)
2014-09-25,승급 0->1 (L1=2 L2=0 L3=0)
2015-04-15,해제 1->0 (2주 미충족)
2015-06-24,승급 0->1 (L1=1 L2=0 L3=1)
2015-08-11,승급 1->2 (L1=1 L2=0 L3=2)
2015-09-29,해제 2->1 (2주 미충족)
2015-10-16,해제 1->0 (2주 미충족)
2015-11-13,승급 0->1 (L1=2 L2=0 L3=0)
2015-12-03,해제 1->0 (2주 미충족)
2015-12-07,승급 0->1 (L1=2 L2=0 L3=0)
2016-03-30,해제 1->0 (2주 미충족)
2016-05-17,승급 0->1 (L1=2 L2=0 L3=0)
2016-06-15,해제 1->0 (2주 미충족)
2016-06-24,승급 0->1 (L1=2 L2=0 L3=0)
2016-07-12,해제 1->0 (2주 미충족)
2017-08-10,승급 0->1 (L1=2 L2=0 L3=0)
2017-09-01,해제 1->0 (2주 미충족)
2017-11-15,승급 0->1 (L1=2 L2=0 L3=0)
2017-11-30,해제 1->0 (2주 미충족)
2018-01-17,승급 0->1 (L1=2 L2=0 L3=0)
2018-02-15,해제 1->0 (2주 미충족)
2018-02-20,승급 0->1 (L1=2 L2=0 L3=0)
2018-05-10,해제 1->0 (2주 미충족)
2018-05-29,승급 0->1 (L1=2 L2=0 L3=0)
2018-06-12,해제 1->0 (2주 미충족)
2018-06-20,승급 0->1 (L1=2 L2=0 L3=0)
2018-08-06,해제 1->0 (2주 미충족)
2018-08-10,승급 0->1 (L1=2 L2=0 L3=0)
2018-08-29,해제 1->0 (2주 미충족)
2018-09-10,승급 0->1 (L1=2 L2=0 L3=0)
2019-02-07,해제 1->0 (2주 미충족)
2019-02-14,승급 0->1 (L1=2 L2=0 L3=0)
2019-03-01,해제 1->0 (2주 미충족)
2019-03-04,승급 0->1 (L1=2 L2=0 L3=0)
2019-04-30,해제 1->0 (2주 미충족)
2019-05-07,승급 0->1 (L1=2 L2=0 L3=0)
2019-06-13,해제 1->0 (2주 미충족)
2019-07-05,승급 0->1 (L1=2 L2=0 L3=0)
2019-07-23,해제 1->0 (2주 미충족)
2019-07-31,승급 0->1 (L1=2 L2=0 L3=0)
2019-10-28,해제 1->0 (2주 미충족)
2020-01-27,승급 0->1 (L1=1 L2=0 L3=1)
2020-02-18,승급 1->2 (L1=1 L2=0 L3=2)
2020-05-14,해제 2->1 (2주 미충족)
2020-05-29,해제 1->0 (2주 미충족)
2020-06-11,승급 0->1 (L1=2 L2=0 L3=0)
2020-06-25,해제 1->0 (2주 미충족)
2020-10-28,승급 0->1 (L1=2 L2=0 L3=0)
2020-11-11,해제 1->0 (2주 미충족)
2021-09-20,승급 0->1 (L1=2 L2=0 L3=0)
2021-10-04,해제 1->0 (2주 미충족)
2021-10-15,승급 0->2 (L1=1 L2=2 L3=0)
2021-11-22,승급 2->3 (L1=2 L2=2 L3=0)
2022-07-15,해제 3->2 (2주 미충족)
2022-07-29,해제 2->1 (2주 미충족)
2022-12-07,해제 1->0 (2주 미충족)
2023-02-15,승급 0->1 (L1=2 L2=0 L3=0)
2023-03-24,해제 1->0 (2주 미충족)
2023-10-04,승급 0->1 (L1=2 L2=0 L3=0)
2023-11-10,해제 1->0 (2주 미충족)
2024-04-12,승급 0->1 (L1=2 L2=0 L3=0)
2024-05-03,해제 1->0 (2주 미충족)
2024-07-02,승급 0->2 (L1=1 L2=2 L3=0)
2024-07-19,승급 2->3 (L1=2 L2=2 L3=0)
2024-08-22,해제 3->2 (2주 미충족)
2024-09-06,해제 2->1 (2주 미충족)
2024-09-20,해제 1->0 (2주 미충족)
2024-10-15,승급 0->1 (L1=2 L2=0 L3=0)
2024-11-19,해제 1->0 (2주 미충족)
2024-12-18,승급 0->1 (L1=2 L2=0 L3=0)
2025-01-07,해제 1->0 (2주 미충족)
2025-01-10,승급 0->1 (L1=2 L2=0 L3=0)
2025-01-29,해제 1->0 (2주 미충족)
2025-02-03,승급 0->1 (L1=2 L2=0 L3=0)
2025-03-26,승급 1->2 (L1=1 L2=0 L3=2)
2025-05-14,해제 2->1 (2주 미충족)
2025-06-09,해제 1->0 (2주 미충족)
2025-11-17,승급 0->1 (L1=2 L2=0 L3=0)
2025-12-08,해제 1->0 (2주 미충족)
2026-02-05,승급 0->1 (L1=2 L2=0 L3=0)
2026-02-20,해제 1->0 (2주 미충족)
2026-03-03,승급 0->1 (L1=2 L2=0 L3=0)
2026-07-24,해제 1->0 (2주 미충족)
2026-07-29,승급 0->1 (L1=2 L2=0 L3=0)
2026-08-12,해제 1->0 (2주 미충족)
